year,slope_year,combined_se,lower_95,upper_95,biome_name,agent
2014,50.62125444747678,4.052465253405734,42.67842255080154,58.56408634415202,Temperate,Natural
2015,61.150274726658175,4.07873321908405,53.155957617253435,69.14459183606292,Temperate,Natural
2016,90.84196653636316,4.053055130354372,82.89797848086859,98.78595459185773,Temperate,Natural
2017,62.35806614163013,4.0163123485438135,54.48609393848426,70.230038344776,Temperate,Natural
2018,72.74890714166203,3.9809279049639046,64.94628844793277,80.55152583539129,Temperate,Natural
2019,94.09417288604604,4.0107628075783746,86.23307778319243,101.95526798889965,Temperate,Natural
2020,124.13063793213138,3.9863774976998965,116.31733803663958,131.9439378276232,Temperate,Natural
2021,130.47944524326383,4.009398727633612,122.62102373710195,138.3378667494257,Temperate,Natural
2022,92.911320292535,3.98001026754245,85.11050016815179,100.7121404169182,Temperate,Natural
2023,81.467670766236,3.9932107115054225,73.64097777168537,89.29436376078662,Temperate,Natural
1985,23.755825524769282,1.2958789591090845,21.215902764915477,26.295748284623087,Mediterranean,Natural
1986,25.99112682260015,1.200438772669834,23.638266828167275,28.343986817033027,Mediterranean,Natural
1987,23.176288940742964,1.3717606857763416,20.487637996621334,25.864939884864594,Mediterranean,Natural
1988,26.052717478839416,1.3720615624044623,23.36347681652667,28.74195814115216,Mediterranean,Natural
1989,24.157037949047755,1.2638935776911207,21.679806536773157,26.634269361322353,Mediterranean,Natural
1990,27.69493388356515,1.3223579170954305,25.103112366058106,30.286755401072192,Mediterranean,Natural
1991,20.083881530404852,1.2200101043831917,17.692661725813796,22.47510133499591,Mediterranean,Natural
1992,27.645627210036146,1.2001088338291392,25.29341389573103,29.99784052434126,Mediterranean,Natural
1993,25.09957733575769,1.2984785051549426,22.554559465654002,27.64459520586138,Mediterranean,Natural
1994,20.978467524326796,1.1756568399870329,18.67418011795221,23.28275493070138,Mediterranean,Natural
1995,26.075866176644222,1.254754458497555,23.616547437989013,28.535184915299432,Mediterranean,Natural
1996,29.025134807154167,1.3878436539482704,26.30496124541556,31.745308368892776,Mediterranean,Natural
1997,26.534775073054192,1.4261005490718495,23.739617996873367,29.329932149235017,Mediterranean,Natural
1998,39.23664096844904,1.3982666652607727,36.496038304537926,41.97724363236015,Mediterranean,Natural
1999,23.368828036291706,1.3421528200864887,20.738208508922188,25.999447563661224,Mediterranean,Natural
2000,23.27974697918335,1.3390666843812442,20.655176277796112,25.90431768057059,Mediterranean,Natural
2001,26.131688836923388,1.3206053210454856,23.543302407674236,28.72007526617254,Mediterranean,Natural
2002,23.090357160148237,1.3014208433704266,20.5395723071422,25.641142013154273,Mediterranean,Natural
2003,22.35762516390537,1.2415318243574058,19.924222788164855,24.79102753964589,Mediterranean,Natural
2004,24.684184202439937,1.1725809199826098,22.38592559927402,26.982442805605853,Mediterranean,Natural
2005,21.761592645212907,1.190917861423637,19.42739363682258,24.095791653603236,Mediterranean,Natural
2006,30.336566005520282,1.26139711445694,27.864227661184678,32.80890434985589,Mediterranean,Natural
2007,28.00865180714442,1.231592399189565,25.594730704732875,30.422572909555967,Mediterranean,Natural
2008,25.952555684336442,1.2642067682394635,23.474710418587094,28.43040095008579,Mediterranean,Natural
2009,29.756492531569805,1.3951852789814927,27.02192938476608,32.49105567837353,Mediterranean,Natural
2010,31.28629980554522,1.6791383149732446,27.99518870819766,34.57741090289278,Mediterranean,Natural
2011,24.761031404991407,1.5427899963511245,21.737163012143203,27.78489979783961,Mediterranean,Natural
2012,16.236323529754532,1.197013088978089,13.890177875357478,18.582469184151588,Mediterranean,Natural
2013,18.57707171371377,1.2388990472060522,16.148829581189908,21.005313846237634,Mediterranean,Natural
2014,28.578920973176004,1.4790627152444253,25.67995805129693,31.47788389505508,Mediterranean,Natural
2015,25.82085886284619,1.3759910073196129,23.12391648849975,28.517801237192632,Mediterranean,Natural
2016,27.884154505124474,1.4746999928734372,24.99374251909254,30.77456649115641,Mediterranean,Natural
2017,31.022564563365936,1.2025794967073846,28.665508749819463,33.37962037691241,Mediterranean,Natural
2018,34.40065023022702,1.1714333739379295,32.10464081730868,36.69665964314537,Mediterranean,Natural
2019,22.9505756273618,1.2444506771004893,20.51145230024484,25.38969895447876,Mediterranean,Natural
2020,26.172281552184725,1.694941644502529,22.850195928959767,29.494367175409682,Mediterranean,Natural
2021,36.34048513079985,1.2669170854982101,33.85732764322336,38.82364261837634,Mediterranean,Natural
2022,38.10998864635971,1.1617084428812865,35.83304009831239,40.38693719440703,Mediterranean,Natural
2023,34.14125891273761,1.2218092196577728,31.74651284220838,36.53600498326685,Mediterranean,Natural
